,userId,movieId,rating
0,1,31,2.5
1,1,1029,3.0
2,1,1061,3.0
3,1,1129,2.0
4,1,1172,4.0
5,1,1263,2.0
7,1,1293,2.0
8,1,1339,3.5
9,1,1343,2.0
10,1,1371,2.5
11,1,1405,1.0
12,1,1953,4.0
14,1,2150,3.0
15,1,2193,2.0
16,1,2294,2.0
17,1,2455,2.5
18,1,2968,1.0
21,2,17,5.0
22,2,39,5.0
23,2,47,4.0
24,2,50,4.0
26,2,62,3.0
27,2,110,4.0
28,2,144,3.0
29,2,150,5.0
30,2,153,4.0
31,2,161,3.0
32,2,165,3.0
35,2,186,3.0
36,2,208,3.0
37,2,222,5.0
38,2,223,1.0
39,2,225,3.0
40,2,235,3.0
41,2,248,3.0
42,2,253,4.0
44,2,265,5.0
45,2,266,5.0
46,2,272,3.0
47,2,273,4.0
49,2,296,4.0
50,2,300,3.0
51,2,314,4.0
52,2,317,2.0
53,2,319,1.0
54,2,339,3.0
55,2,349,4.0
56,2,350,4.0
57,2,356,3.0
59,2,364,3.0
60,2,367,3.0
62,2,371,3.0
63,2,372,3.0
64,2,377,3.0
65,2,382,3.0
66,2,405,2.0
68,2,454,4.0
69,2,457,3.0
70,2,468,4.0
71,2,474,2.0
72,2,480,4.0
73,2,485,3.0
74,2,497,3.0
75,2,500,4.0
76,2,508,4.0
77,2,509,4.0
78,2,515,4.0
79,2,527,4.0
80,2,537,4.0
81,2,539,3.0
82,2,550,3.0
83,2,551,5.0
84,2,552,3.0
85,2,585,5.0
86,2,586,3.0
87,2,587,3.0
88,2,588,3.0
89,2,589,5.0
90,2,590,5.0
91,2,592,5.0
92,2,593,3.0
93,2,616,3.0
96,3,60,3.0
97,3,110,4.0
98,3,247,3.5
99,3,267,3.0
101,3,318,5.0
103,3,356,5.0
105,3,527,3.0
106,3,588,3.0
107,3,592,3.0
108,3,593,3.0
109,3,595,2.0
110,3,736,3.5
111,3,778,4.0
113,3,1197,5.0
114,3,1210,3.0
116,3,1271,3.0
117,3,1378,4.0
118,3,1580,3.5
119,3,1721,4.5
120,3,1884,4.0
122,3,2318,4.0
124,3,2694,3.0
125,3,2702,3.5
126,3,2716,3.0
128,3,2841,4.0
133,3,3949,5.0
134,3,5349,3.0
136,3,6377,3.0
138,3,7361,3.0
139,3,8622,3.5
140,3,8636,3.0
141,3,27369,3.5
142,3,44191,3.5
143,3,48783,4.5
145,3,58559,3.0
146,3,84236,4.0
150,4,141,5.0
152,4,173,3.0
154,4,260,5.0
155,4,289,4.0
156,4,296,5.0
157,4,329,3.0
158,4,349,5.0
159,4,356,5.0
160,4,357,5.0
162,4,367,4.0
163,4,380,3.0
164,4,410,3.0
165,4,431,3.0
166,4,434,4.0
167,4,435,1.0
168,4,440,4.0
169,4,442,4.0
170,4,464,4.0
171,4,480,5.0
172,4,541,5.0
173,4,588,5.0
175,4,590,3.0
176,4,594,5.0
177,4,596,5.0
178,4,610,4.0
181,4,903,5.0
182,4,910,4.0
183,4,913,5.0
184,4,919,5.0
185,4,1011,4.0
186,4,1016,4.0
187,4,1022,5.0
188,4,1028,5.0
189,4,1030,5.0
191,4,1032,5.0
192,4,1033,5.0
193,4,1036,5.0
194,4,1073,5.0
195,4,1079,5.0
197,4,1097,5.0
200,4,1136,5.0
201,4,1194,5.0
202,4,1196,5.0
203,4,1197,5.0
204,4,1198,5.0
205,4,1200,5.0
206,4,1206,5.0
207,4,1208,5.0
209,4,1213,5.0
210,4,1214,5.0
211,4,1219,5.0
212,4,1220,5.0
213,4,1222,5.0
215,4,1230,5.0
216,4,1240,5.0
218,4,1257,5.0
219,4,1258,5.0
221,4,1265,5.0
222,4,1270,5.0
223,4,1278,5.0
224,4,1282,5.0
225,4,1285,4.0
226,4,1288,5.0
227,4,1291,5.0
228,4,1298,4.0
229,4,1307,4.0
231,4,1334,5.0
232,4,1344,5.0
233,4,1356,4.0
234,4,1371,4.0
235,4,1372,3.0
236,4,1374,4.0
237,4,1376,3.0
238,4,1377,3.0
239,4,1380,5.0
240,4,1387,5.0
241,4,1388,4.0
242,4,1396,5.0
244,4,1580,5.0
245,4,1663,4.0
246,4,1674,5.0
247,4,1805,1.0
248,4,1858,5.0
249,4,1917,4.0
250,4,1918,2.0
251,4,1953,5.0
252,4,1954,5.0
253,4,1961,5.0
254,4,1967,3.0
255,4,1968,5.0
256,4,1994,5.0
257,4,2000,5.0
258,4,2002,3.0
259,4,2003,2.0
260,4,2005,5.0
261,4,2014,4.0
262,4,2018,5.0
263,4,2020,4.0
264,4,2021,4.0
266,4,2034,4.0
267,4,2046,5.0
270,4,2078,5.0
271,4,2080,5.0
